id,title,model_type,storage_gb,price,currency,state_name,shipping_free,logistic_type,seller_status,condition,permalink
MLA1958682846,iphone 15 base 256gb nuevo sellado,Base,256,1068553,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA3585650756,iphone 15 pro 512gb garantia oficial,Pro,512,1838883,ARS,Santa Fe,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA4733616459,iphone 15 plus 256gb libre,Plus,256,1274767,ARS,Buenos Aires,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake
MLA5693307665,iphone 15 plus 256gb nuevo sellado,Plus,256,1232372,ARS,Córdoba,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake
MLA2625792787,iphone 15 base 128gb caja abierta,Base,128,929646,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake
MLA5728765136,iphone 15 plus 256gb caja abierta,Plus,256,1244176,ARS,Buenos Aires,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake
MLA9896606039,iphone 15 pro 256gb libre,Pro,256,1505120,ARS,Santa Fe,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA1240251661,iphone 15 pro 512gb,Pro,512,1854908,ARS,CABA,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA8378385615,iphone 15 plus 256gb garantia oficial,Plus,256,1269429,ARS,Salta,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake
MLA7609857128,iphone 15 pro max 256gb envio gratis,Pro Max,256,1767629,ARS,Buenos Aires,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA1470939445,iphone 15 plus 128gb libre,Plus,128,1132128,ARS,CABA,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake
MLA7567496105,iphone 15 pro 512gb,Pro,512,1832451,ARS,Mendoza,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA6555540744,iphone 15 pro 128gb libre,Pro,128,1293984,ARS,Salta,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake
MLA7980611182,iphone 15 pro 128gb garantia oficial,Pro,128,1254869,ARS,Mendoza,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake
MLA3098545541,iphone 15 pro max 512gb nuevo sellado,Pro Max,512,2190110,ARS,Córdoba,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake
MLA5067116918,iphone 15 plus 256gb nuevo sellado,Plus,256,1278988,ARS,Mendoza,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA3361388464,iphone 15 plus 128gb caja abierta,Plus,128,1103044,ARS,Buenos Aires,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA8357059814,iphone 15 pro max 512gb envio gratis,Pro Max,512,2203981,ARS,Santa Fe,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake
MLA5569956444,iphone 15 pro max 512gb,Pro Max,512,2118544,ARS,Buenos Aires,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake
MLA1983297492,iphone 15 base 128gb,Base,128,932367,ARS,Buenos Aires,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA3030106617,iphone 15 pro 128gb full,Pro,128,1339974,ARS,CABA,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake
MLA9822598054,iphone 15 pro 512gb nuevo sellado,Pro,512,1720910,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
MLA5897045684,iphone 15 plus 256gb libre,Plus,256,1222318,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake
