id,title,price,currency,state_name,shipping_free,logistic_type,seller_status,condition,permalink,storage_gb,model_type,median_segment,is_anomaly
MLA9744373240,iphone 15 base 256gb nuevo sellado,965190,ARS,CABA,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA5336606550,iphone 15 pro 256gb libre,1716907,ARS,Buenos Aires,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA9052583790,iphone 15 pro max 512gb oferta,2206662,ARS,Santa Fe,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA6936494332,iphone 15 pro 128gb,1234644,ARS,Salta,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA5711172920,iphone 15 pro 512gb oferta,1933486,ARS,Salta,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA6365863771,iphone 15 plus 512gb nuevo sellado,1004812,ARS,Mendoza,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA3119939887,iphone 15 plus 512gb full,1999992,ARS,Santa Fe,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA5247126576,iphone 15 pro 512gb,2034213,ARS,Córdoba,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA9329397424,iphone 15 pro 512gb full,1611753,ARS,Buenos Aires,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA1816815094,iphone 15 pro 512gb,1729132,ARS,Santa Fe,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA9248020176,iphone 15 plus 128gb,963967,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5695548532,iphone 15 pro 512gb,1993844,ARS,Salta,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA2442714081,iphone 15 base 256gb oferta,924556,ARS,Buenos Aires,False,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
